orgname,selected_peers_concat
Anthem College-Maryland Heights,Midwest Institute|Missouri College|St Louis College of Health Careers-St Louis|Vatterott College-St Charles
Anthem College-Orlando,Concorde Career Institute-Jacksonville|Florida Technical College|Southern Career College|Full Sail University|Keiser University-Ft Lauderdale|Everest University-North Orlando|Everest University-Tampa|Heritage Institute-Jacksonville|Sanford-Brown Institute-Tampa|Herzing University-Winter Park|Everest University-South Orlando|City College-Casselberry|Lincoln Technical Institute-Fern Park|Central Florida Institute|Medvance Institute-West Palm|Keiser Career College-Jacksonville|Southern Technical College
Anthem College-Phoenix,"Everest College-Phoenix|Carrington College-Phoenix|Brookline College-Phoenix|Arizona State University|Brown Mackie College-Tucson|DeVry University-Arizona|Lamson College|Kaplan College-Phoenix|Mesa Community College|Pima Medical Institute-Mesa|University of Phoenix-Online Campus|Brookline College-Tempe|Arizona College of Allied Health|Brookline College-Tucson|Everest College-Mesa|ITT Technical InstituteaO""Phoenix|Fortis College-Phoenix|Brown Mackie College-Phoenix"
Antioch University Seattle,California Institute of Integral Studies|John F Kennedy University|Patten University|Concordia University-Portland|Lewis & Clark College|Linfield College|Marylhurst University|Pacific University|University of Portland|Reed College|Warner Pacific College|Willamette University|City University of Seattle|The Evergreen State College|Heritage University|Northwest University|Pacific Lutheran University|University of Puget Sound|Saint Martin's University|Seattle Pacific University|Seattle University|Whitman College|Whitworth University
Appalachian State University,California State University-Chico|Eastern Illinois University|Western Illinois University|University of Northern Iowa|Towson University|Minnesota State University-Mankato|Saint Cloud State University|Rowan University|SUNY at Binghamton|Bowling Green State University-Main Campus|Miami University-Oxford|Indiana University of Pennsylvania-Main Campus|West Chester University of Pennsylvania|College of Charleston|Sam Houston State University|James Madison University|Western Washington University|University of Wisconsin-La Crosse
Aquinas College,Augustana College|Aurora University|Elmhurst College|Greenville College|Lake Forest College|McKendree University|Millikin University|Monmouth College|North Central College|Olivet Nazarene University|Quincy University|Dominican University|University of St Francis|Trinity Christian College|Anderson University|Bethel College-Mishawaka|University of Evansville|Huntington University|Manchester College|Marian University|University of Saint Francis-Fort Wayne|Trine University|Valparaiso University|Adrian College|Albion College|Alma College|Andrews University|Cornerstone University|Madonna University|Olivet College|Spring Arbor University|Capital University|Cedarville University|Heidelberg University|Hiram College|John Carroll University|Lourdes College|Malone University|Marietta College|University of Mount Union|Mount Vernon Nazarene University|College of Mount St. Joseph|Muskingum University|Notre Dame College|Ohio Dominican University|Ohio Northern University|Otterbein University|Franciscan University of Steubenville|Walsh University|Wilmington College|Wittenberg University|Carroll University|Carthage College|Edgewood College|Marian University|Ripon College|Saint Norbert College
Arapahoe Community College,Aims Community College|Community College of Aurora|Community College of Denver|Front Range Community College|Pikes Peak Community College|Red Rocks Community College|Laramie County Community College
Argosy University-Atlanta,University of Alabama at Birmingham|Jacksonville State University|Samford University|Troy University|Walden University|Strayer University-District of Columbia|Nova Southeastern University|Albany State University|Clark Atlanta University|Brenau University|Clayton  State University|Columbus State University|DeVry University-Georgia|Emory University|Georgia Institute of Technology-Main Campus|Georgia State University|University of Georgia|Kennesaw State University|LaGrange College|Mercer University|Oglethorpe University|University of West Georgia|Ashford University|Central Michigan University|Webster University|University of Cincinnati-Main Campus|Lincoln Memorial University|Liberty University|Georgia Perimeter College|Kaplan Career Institute-Nashville|Brown Mackie College-Atlanta|Capella University|DeVry College of New York|University of Phoenix-Atlanta Campus|Shorter University-College of Adult & Professional Programs
Argosy University-Chicago,Concordia University-Chicago|DePaul University|DeVry University-Illinois|University of Illinois at Chicago|Benedictine University|Lewis University|Loyola University-Chicago|National-Louis University|Northern Illinois University|Robert Morris University Illinois|Roosevelt University|Saint Xavier University|Kaplan University-Davenport Campus|Westwood College-Chicago Loop
Argosy University-Denver,University of Colorado Denver|Colorado Christian University|Colorado State University-Fort Collins|Colorado Technical University-Colorado Springs|College America-Denver|University of Denver|Metropolitan State College of Denver|Naropa University|University of Northern Colorado|Regis University|Webster University|University of Phoenix-Colorado Campus
Argosy University-Hawaii,Walden University|Heald College-Honolulu|Chaminade University of Honolulu|University of Hawaii at Hilo|University of Hawaii at Manoa|Hawaii Pacific University|Kapiolani Community College|Leeward Community College|University of Hawaii-West Oahu|Windward Community College|Remington College-Honolulu Campus|Capella University|University of Phoenix-Hawaii Campus
Argosy University-Inland Empire,Azusa Pacific University|California Lutheran University|Alliant International University|California State University-San Bernardino|California State University-Fullerton|California State University-Long Beach|California State University-Los Angeles|California State University-Northridge|University of California-Irvine|University of California-Los Angeles|University of California-Riverside|University of California-San Diego|Chapman University|DeVry University-California|University of La Verne|Loyola Marymount University|National University|Pepperdine University|Point Loma Nazarene University|University of Redlands|San Diego State University|University of San Diego|Vanguard University of Southern California|University of Southern California|Walden University|Ashford University|Orange County Community College|California State University-San Marcos|University of Phoenix-Southern California Campus|Capella University
Argosy University-Los Angeles,Azusa Pacific University|California Lutheran University|Alliant International University|California State University-San Bernardino|California State University-Fullerton|California State University-Long Beach|California State University-Los Angeles|California State University-Northridge|University of California-Irvine|University of California-Los Angeles|University of California-Riverside|University of California-San Diego|Chapman University|DeVry University-California|University of La Verne|Loyola Marymount University|National University|Pepperdine University|Point Loma Nazarene University|University of Redlands|San Diego State University|University of San Diego|Vanguard University of Southern California|University of Southern California|Walden University|Ashford University|Orange County Community College|California State University-San Marcos|University of Phoenix-Southern California Campus|Capella University
Argosy University-Orange County,Azusa Pacific University|California Lutheran University|Alliant International University|California State University-San Bernardino|California State University-Fullerton|California State University-Long Beach|California State University-Los Angeles|California State University-Northridge|University of California-Irvine|University of California-Los Angeles|University of California-Riverside|University of California-San Diego|Chapman University|DeVry University-California|University of La Verne|Loyola Marymount University|National University|Pepperdine University|Point Loma Nazarene University|University of Redlands|San Diego State University|University of San Diego|Vanguard University of Southern California|University of Southern California|Walden University|Ashford University|Orange County Community College|California State University-San Marcos|University of Phoenix-Southern California Campus|Capella University
Argosy University-Salt Lake City,Grand Canyon University|Walden University|Strayer University-District of Columbia|Ashford University|Webster University|Brigham Young University-Provo|Utah State University|University of Utah|Weber State University|Westminster College|University of Phoenix-Utah Campus|Capella University
Argosy University-San Diego,Azusa Pacific University|California Lutheran University|Alliant International University|California State University-San Bernardino|California State University-Fullerton|California State University-Long Beach|California State University-Los Angeles|California State University-Northridge|University of California-Irvine|University of California-Los Angeles|University of California-Riverside|University of California-San Diego|Chapman University|DeVry University-California|University of La Verne|Loyola Marymount University|National University|Pepperdine University|Point Loma Nazarene University|University of Redlands|San Diego State University|University of San Diego|Vanguard University of Southern California|University of Southern California|Walden University|Ashford University|Orange County Community College|California State University-San Marcos|University of Phoenix-Southern California Campus|Capella University
Argosy University-Sarasota,Pacifica Graduate Institute|Walden University|Strayer University-District of Columbia|Nova Southeastern University|Saint Leo University|University of South Florida-Main Campus|Webster University|University of Phoenix-Online Campus|Capella University|University of Phoenix-North Florida Campus|DeVry University-Florida
Argosy University-Seattle,Chapman University|Walden University|Bellevue College|Central Washington University|City University of Seattle|Eastern Washington University|Northwest University|Pacific Lutheran University|Seattle Pacific University|Seattle University|Washington State University|University of Washington-Seattle Campus|Western Washington University|Antioch University-Seattle|Capella University|Northcentral University
Argosy University-Tampa,Troy University|Walden University|Strayer University-District of Columbia|Barry University|Carlos Albizu University-Miami|University of Central Florida|Florida Institute of Technology|Florida State University|University of Florida|Nova Southeastern University|Saint Leo University|University of South Florida-Main Campus|The University of Tampa|National-Louis University|Springfield College in Illinois|Ashford University|Webster University|Capella University|University of Phoenix-Central Florida Campus|DeVry University-Florida
Argosy University-Twin Cities,Augsburg College|Bethel University|Dakota County Technical College|Globe University-Woodbury|Hamline University|Metropolitan State University|University of Minnesota-Twin Cities|Brown College|Normandale Community College|Saint Cloud State University|Saint Mary's University of Minnesota|The College of Saint Scholastica|University of St Thomas|St Catherine University|Saint Paul College-A Community and Technical College|Dunwoody College of Technology|Century Community and Technical College|Capella University|Anthem College-Minnesota|University of Phoenix-Minneapolis/St Paul Campus
Arizona College of Allied Health,Everest College-Phoenix|Carrington College-Phoenix|Brookline College-Phoenix|Anthem College-Phoenix|Kaplan College-Phoenix|Pima Medical Institute-Mesa|The Bryman School of Arizona|Brown Mackie College-Phoenix
Arizona State University,University of California-Los Angeles|University of Connecticut|Florida State University|University of Illinois at Urbana-Champaign|Indiana University-Bloomington|University of Iowa|University of Maryland-College Park|Michigan State University|University of Minnesota-Twin Cities|Rutgers University-New Brunswick|Ohio State University-Main Campus|Pennsylvania State University-Main Campus|The University of Texas at Austin|University of Washington-Seattle Campus|University of Wisconsin-Madison
Arizona Western College,Central Arizona College|Eastern Arizona College|Mohave Community College|Yavapai College|Cuyamaca College|College of the Desert|Gavilan College|Imperial Valley College|Taft College|Yuba College|Arapahoe Community College|College of Southern Idaho|San Juan College|Clackamas Community College|Linn-Benton Community College|Laredo Community College|McLennan Community College|Navarro College|South Plains College|Tyler Junior College|Columbia Basin College|Skagit Valley College|South Puget Sound Community College|Spokane Community College|Las Positas College
Arkansas Northeastern College,Black River Technical College|East Arkansas Community College|National Park Community College|University of Arkansas Community College-Batesville|Mid-South Community College|Phillips Community College of the University of Arkansas|University of Arkansas Community College-Hope|Rich Mountain Community College|South Arkansas Community College|Arkansas State University-Newport
Arkansas State University-Beebe,Black River Technical College|Cossatot Community College of the University of Arkansas|East Arkansas Community College|National Park Community College|University of Arkansas Community College-Batesville|Mid-South Community College|Arkansas Northeastern College|North Arkansas College|Ouachita Technical College|Ozarka College|University of Arkansas Community College-Morrilton|Phillips Community College of the University of Arkansas|Southeast Arkansas College|Pulaski Technical College|University of Arkansas Community College-Hope|Rich Mountain Community College|South Arkansas Community College|Southern Arkansas University Tech|NorthWest Arkansas Community College|Arkansas State University-Mountain Home|Arkansas State University-Newport
