date,close,volume,open,high,low
9/26/16,112.88,29800240,111.64,113.39,111.55
9/23/16,112.71,52411070,114.42,114.79,111.55
9/22/16,114.62,31048170,114.35,114.94,114
9/21/16,113.55,35951900,113.85,113.989,112.441
9/20/16,113.57,34494150,113.05,114.12,112.51
9/19/16,113.58,46937190,115.19,116.18,113.25
9/16/16,114.92,79763890,115.12,116.13,114.04
9/15/16,115.57,90398170,113.86,115.73,113.49
9/14/16,111.77,111186900,108.73,113.03,108.6
9/13/16,107.95,62080160,107.51,108.79,107.24
9/12/16,105.44,45114590,102.65,105.72,102.53
9/9/16,103.13,46461610,104.64,105.72,103.13
